ORIGEN,DESTINO
ARTISTAS,Olafur Eliasson
ARTISTAS,Zaha Hadid
ARTISTAS,James Turrell
ARTISTAS,Tadao Ando
ARTISTAS,Mies van der Rohe
ARTISTAS,Frank Gehry
ARTISTAS,Santiago Calatrava
ARTISTAS,Damien Hirst
ARTISTAS,Jean-Michel Basquiat
ARTISTAS,Antoni Gaudí
ARTISTAS,Claude Monet
ARTISTAS,I. M. Pei
ARTISTAS,Roy Lichtenstein
ARTISTAS,Andy Warhol
ARTISTAS,Salvador Dalí
ARTISTAS,Pablo Picasso
Pablo Picasso,PAINTER
Olafur Eliasson,VISUAL ARTIST
Zaha Hadid,ARCHITECT
James Turrell,VISUAL ARTIST
Tadao Ando,ARCHITECT
Mies van der Rohe,ARCHITECT
Frank Gehry,ARCHITECT
Santiago Calatrava,ARCHITECT
Damien Hirst,VISUAL ARTIST
Jean-Michel Basquiat,PAINTER
Antoni Gaudí,ARCHITECT
Claude Monet,PAINTER
I. M. Pei,ARCHITECT
Roy Lichtenstein,PAINTER
Andy Warhol,VISUAL ARTIST
Salvador Dalí,PAINTER
Olafur Eliasson,Light and Space
Zaha Hadid,Deconstructivism
James Turrell,Light and Space
Tadao Ando,Minimalism
Mies van der Rohe,Modernism
Frank Gehry,Deconstructivism
Santiago Calatrava,Structural Expressionism
Damien Hirst,Young British Artists (YBA)
Jean-Michel Basquiat,Neo-Expressionism
Antoni Gaudí,Catalan Modernism
Claude Monet,Impressionism
I. M. Pei,Modernism
Roy Lichtenstein,Pop Art
Andy Warhol,Pop Art
Salvador Dalí,Surrealism
Pablo Picasso,Cubism
Olafur Eliasson,Percepción y Espacio
Zaha Hadid,Percepción y Espacio
James Turrell,Percepción y Espacio
Tadao Ando,Percepción y Espacio
Mies van der Rohe,Percepción y Espacio
Frank Gehry,Percepción y Espacio
Santiago Calatrava,Percepción y Espacio
Damien Hirst,Arte Conceptual y Provocador
Jean-Michel Basquiat,Arte Conceptual y Provocador
Antoni Gaudí,Exploración de lo Subconsciente
Claude Monet,Exploración de lo Subconsciente
I. M. Pei,Percepción y Espacio
Roy Lichtenstein,Arte Conceptual y Provocador
Andy Warhol,Arte Conceptual y Provocador
Salvador Dalí,Exploración de lo Subconsciente
Pablo Picasso,Exploración de lo Subconsciente