origen,destino
películas,Son como niños
películas,Forrest Gump
películas,Sr. y Sra. Smith
películas,El lobo de Wall Street
películas,"Mentiroso, mentiroso"
películas,Lucy
películas,Iron Man
películas,El diablo viste a la moda
Son como niños,Comedia
Forrest Gump,Drama
Sr. y Sra. Smith,Acción
El lobo de Wall Street,Comedia
"Mentiroso, mentiroso",Drama
Lucy,Acción
Iron Man,Ciencia Ficción
El diablo viste a la moda,Comedia
Son como niños,Adam Sandler
Forrest Gump,Tom Hanks
Sr. y Sra. Smith,Angelina Jolie
El lobo de Wall Street,Leonardo DiCaprio
"Mentiroso, mentiroso",Jim Carrey
Lucy,Scarlett Johansson
Iron Man,Robert Downey Jr.
El diablo viste a la moda,Meryl Streep
Adam Sandler,Kevin James
Tom Hanks,Gary Sinise
Angelina Jolie,Brad Pitt
Leonardo DiCaprio,Jonah Hill
Jim Carrey,Jennifer Tilly
Scarlett Johansson,Morgan Freeman
Robert Downey Jr.,Gwyneth Paltrow
Meryl Streep,Anne Hathaway